O3,gpus,N,iter,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
true,2,36864,2,3.67117,77.631,0.792474,0.0169698,0.113046,0.000262992
true,2,36864,3,3.12476,77.5494,0.680554,0.018075,0.115928,0.000262538
true,2,36864,4,3.19276,77.9583,0.726145,0.0185485,0.118457,0.000264569
true,2,36864,5,3.35667,77.5363,0.900816,0.0173917,0.119851,0.000262079
true,3,1024,1,0.00411587,0.241907,0.00167225,0.018548,0.132399,0.000363873
true,3,1024,2,0.00394537,0.243684,0.00175983,0.0181518,0.136154,0.00035447
true,3,1024,3,0.00398191,0.241867,0.0017524,0.0179979,0.132182,0.000343614
true,3,1024,4,0.00630479,0.245008,0.00283143,0.0181727,0.133837,0.00034632
true,3,1024,5,0.00447984,0.243118,0.0019061,0.017966,0.133132,0.00036332
true,3,2048,1,0.0166281,0.41437,0.00352812,0.0180215,0.133453,0.000341157
true,3,2048,2,0.0165665,0.39706,0.00358842,0.0179718,0.135287,0.000360029
true,3,2048,3,0.0171057,0.378426,0.0029678,0.0180207,0.12735,0.000360294
true,3,2048,4,0.0175446,0.372131,0.00371785,0.018061,0.128713,0.000346026
true,3,2048,5,0.0163113,0.3678,0.00356723,0.018088,0.128237,0.000341418
true,3,4096,1,0.0579398,0.857623,0.0106699,0.018309,0.136007,0.000346016
true,3,4096,2,0.0640591,0.809003,0.0108791,0.0187193,0.131622,0.000350401
true,3,4096,3,0.057861,0.808526,0.0106145,0.0184639,0.135747,0.000351372
true,3,4096,4,0.058169,0.809457,0.0107595,0.0184495,0.136221,0.000353205
true,3,4096,5,0.0605279,0.805782,0.00990328,0.0181732,0.130856,0.000368948
true,3,8192,1,0.238815,2.70002,0.0377658,0.0185684,0.142166,0.000343448
true,3,8192,2,0.265107,2.69943,0.0394275,0.0189354,0.140558,0.00034476
true,3,8192,3,0.232167,2.70288,0.0360486,0.0188557,0.145515,0.000342129
true,3,8192,4,0.268382,2.69888,0.0393749,0.0186681,0.139395,0.000353438
true,3,8192,5,0.243709,2.70871,0.0388201,0.0189943,0.142738,0.000360594
true,3,12288,1,0.576999,6.01398,0.0877145,0.0189065,0.152343,0.000361604
true,3,12288,2,0.598755,5.87217,0.0868726,0.0194946,0.149583,0.00034914
true,3,12288,3,0.574377,5.89212,0.0810314,0.0192714,0.156723,0.00034759
true,3,12288,4,0.552686,5.88319,0.0880282,0.018571,0.155707,0.0003492
true,3,12288,5,0.773462,5.88138,0.165511,0.018994,0.152719,0.000350599
true,3,16384,1,1.04353,10.4744,0.155344,0.0189691,0.166943,0.000352231
true,3,16384,2,0.972737,10.3166,0.15239,0.0189195,0.164847,0.000355326
true,3,16384,3,1.06369,10.3268,0.154208,0.018771,0.163732,0.000352804
true,3,16384,4,1.0471,10.4094,0.155402,0.0190954,0.16493,0.000342818
true,3,16384,5,0.938204,10.3277,0.14377,0.0187495,0.170633,0.000345649
true,3,20480,1,1.45168,16.1168,0.217636,0.0193902,0.180614,0.000349861
true,3,20480,2,1.4213,16.1996,0.208336,0.0191139,0.179694,0.000345739
true,3,20480,3,1.46048,16.1195,0.222484,0.0198218,0.184162,0.000343986
true,3,20480,4,1.47959,16.183,0.228757,0.0192192,0.179189,0.000357464
true,3,20480,5,2.60446,16.0979,0.160976,0.019355,0.175735,0.000358509
true,3,24576,1,2.20984,23.1335,0.333543,0.019652,0.191166,0.000352391
true,3,24576,2,2.26919,23.2836,0.342709,0.0202151,0.191024,0.000356762
true,3,24576,3,2.44685,23.1734,0.345747,0.0194913,0.192292,0.000346485
true,3,24576,4,2.29636,23.2775,0.500174,0.0192734,0.188987,0.000344228
true,3,24576,5,2.32498,23.3352,0.340611,0.0191228,0.19127,0.00034818
true,3,28672,1,2.82118,31.3938,0.473534,0.0195804,0.205372,0.000341741
true,3,28672,2,3.17096,31.4663,0.465697,0.0210673,0.204217,0.000349602
true,3,28672,3,2.85339,31.3775,0.442242,0.0195214,0.204823,0.000343878
true,3,28672,4,3.12546,31.6405,0.453966,0.0193757,0.203389,0.000353126
true,3,28672,5,4.81216,31.3977,0.393473,0.0205721,0.200317,0.000359466
true,3,32768,1,4.32429,40.9544,0.61722,0.0197252,0.21157,0.000361395
true,3,32768,2,3.87953,40.9157,0.579923,0.0208986,0.213919,0.000341034
