gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
1,75776,1,0.0011517,0.000665248,0.624827,N/A,N/A,N/A,N/A
1,75776,1,0.00132765,0.000697945,0.6247,N/A,N/A,N/A,N/A
1,75776,1,0.00133359,0.000688727,0.624751,N/A,N/A,N/A,N/A
1,76800,1,0.000968937,0.000676572,0.633398,N/A,N/A,N/A,N/A
1,76800,1,0.00136158,0.000698845,0.633502,N/A,N/A,N/A,N/A
1,76800,1,0.00142171,0.000704221,0.633061,N/A,N/A,N/A,N/A
1,77824,1,0.00103473,0.000702345,0.769335,N/A,N/A,N/A,N/A
1,77824,1,0.0012754,0.00071435,0.769155,N/A,N/A,N/A,N/A
1,77824,1,0.00134321,0.000672442,0.768798,N/A,N/A,N/A,N/A
1,78848,1,0.00137632,0.000701639,0.778796,N/A,N/A,N/A,N/A
1,78848,1,0.00140013,0.000705058,0.779198,N/A,N/A,N/A,N/A
1,78848,1,0.00141249,0.000718678,0.77882,N/A,N/A,N/A,N/A
1,79872,1,0.00111282,0.000741948,0.789049,N/A,N/A,N/A,N/A
1,79872,1,0.00140412,0.000700032,0.78908,N/A,N/A,N/A,N/A
1,79872,1,0.00142089,0.000707863,0.789238,N/A,N/A,N/A,N/A
1,80896,1,0.00105121,0.000706465,0.799348,N/A,N/A,N/A,N/A
1,80896,1,0.00107685,0.000720085,0.799174,N/A,N/A,N/A,N/A
1,80896,1,0.00150147,0.000734323,0.799387,N/A,N/A,N/A,N/A
1,81920,1,0.00101308,0.000721692,0.810266,N/A,N/A,N/A,N/A
1,81920,1,0.0010577,0.00073663,0.810585,N/A,N/A,N/A,N/A
1,81920,1,0.00143945,0.000731668,0.810843,N/A,N/A,N/A,N/A
1,82944,1,0.00101907,0.000732228,0.820211,N/A,N/A,N/A,N/A
1,82944,1,0.00105743,0.000733636,0.820103,N/A,N/A,N/A,N/A
1,82944,1,0.00148152,0.00073154,0.819908,N/A,N/A,N/A,N/A
1,83968,1,0.00114758,0.000732436,0.829846,N/A,N/A,N/A,N/A
1,83968,1,0.00145915,0.00075821,0.829667,N/A,N/A,N/A,N/A
1,83968,1,0.00147682,0.000753951,0.82946,N/A,N/A,N/A,N/A
1,84992,1,0.00146837,0.000767638,0.840102,N/A,N/A,N/A,N/A
1,84992,1,0.00150185,0.000742019,0.839579,N/A,N/A,N/A,N/A
1,84992,1,0.00153208,0.000746975,0.839685,N/A,N/A,N/A,N/A
1,86016,1,0.00135286,0.000758078,0.849796,N/A,N/A,N/A,N/A
1,86016,1,0.00150804,0.000768199,0.850302,N/A,N/A,N/A,N/A
1,86016,1,0.00154179,0.000762131,0.850362,N/A,N/A,N/A,N/A
1,87040,1,0.00104673,0.000787476,0.860286,N/A,N/A,N/A,N/A
1,87040,1,0.00122841,0.000772119,0.860658,N/A,N/A,N/A,N/A
1,87040,1,0.00153367,0.000775879,0.860494,N/A,N/A,N/A,N/A
1,88064,1,0.00117859,0.000777554,0.871282,N/A,N/A,N/A,N/A
1,88064,1,0.00153661,0.000772948,0.870891,N/A,N/A,N/A,N/A
1,88064,1,0.00155769,0.000786006,0.871058,N/A,N/A,N/A,N/A
1,89088,1,0.00156573,0.000747525,0.881561,N/A,N/A,N/A,N/A
1,89088,1,0.00157155,0.00078937,0.881176,N/A,N/A,N/A,N/A
1,89088,1,0.00160033,0.000784134,0.881321,N/A,N/A,N/A,N/A
1,90112,1,0.0015779,0.000792164,0.89192,N/A,N/A,N/A,N/A
1,90112,1,0.00160023,0.000782862,0.891756,N/A,N/A,N/A,N/A
1,90112,1,0.00162656,0.000790895,0.892118,N/A,N/A,N/A,N/A
1,91136,1,0.00139518,0.000799279,0.902054,N/A,N/A,N/A,N/A
1,91136,1,0.00161066,0.000811164,0.902144,N/A,N/A,N/A,N/A
1,91136,1,0.00163783,0.000808436,0.902143,N/A,N/A,N/A,N/A
1,92160,1,0.00117244,0.000783211,0.912006,N/A,N/A,N/A,N/A
1,92160,1,0.00166262,0.000808507,0.912163,N/A,N/A,N/A,N/A
1,92160,1,0.00167985,0.000811569,0.911952,N/A,N/A,N/A,N/A
1,93184,1,0.00113522,0.000826587,1.07467,N/A,N/A,N/A,N/A
1,93184,1,0.00114562,0.000827912,1.07398,N/A,N/A,N/A,N/A
1,93184,1,0.00147782,0.000838892,1.07475,N/A,N/A,N/A,N/A
1,94208,1,0.00148222,0.000814164,1.08676,N/A,N/A,N/A,N/A
1,94208,1,0.00167119,0.00081499,1.08711,N/A,N/A,N/A,N/A
1,94208,1,0.00167729,0.000824849,1.08731,N/A,N/A,N/A,N/A
1,95232,1,0.00121323,0.000851379,1.09868,N/A,N/A,N/A,N/A
1,95232,1,0.00166526,0.00085655,1.09882,N/A,N/A,N/A,N/A
1,95232,1,0.00167443,0.00084287,1.09864,N/A,N/A,N/A,N/A
1,96256,1,0.00159194,0.000838123,1.11022,N/A,N/A,N/A,N/A
1,96256,1,0.00169173,0.000843,1.11048,N/A,N/A,N/A,N/A
