gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
2,45056,1,0.00160561,0.00647875,0.158286,0.014631,3.2477e-05,0.0202431,0.0201419
2,45056,1,0.00161351,0.00659077,0.158163,0.014474,3.4991e-05,0.0202075,0.0201447
2,46080,1,0.000999951,0.0030134,0.152285,0.00572578,1.5714e-05,0.00811178,0.00807637
2,46080,1,0.00101832,0.00294845,0.154194,0.00754199,1.2922e-05,0.00988022,0.00983845
2,46080,1,0.00162342,0.00568554,0.161041,0.0142455,3.2128e-05,0.019115,0.0190288
2,47104,1,0.00105902,0.00629352,0.164005,0.0142385,3.087e-05,0.0198126,0.019731
2,47104,1,0.00115319,0.00310623,0.155184,0.00551206,1.3549e-05,0.00799018,0.00795623
2,47104,1,0.0016647,0.00636302,0.163805,0.0138043,1.5296e-05,0.0193003,0.0192302
2,48128,1,0.00105199,0.00283146,0.158709,0.00559657,1.4387e-05,0.0077773,0.00773714
2,48128,1,0.00158901,0.00356286,0.161869,0.0087044,1.3061e-05,0.0115426,0.0114961
2,48128,1,0.00171827,0.00638439,0.168024,0.0148883,1.7112e-05,0.0203331,0.0202437
2,49152,1,0.0011809,0.00448132,0.166796,0.0102992,3.2687e-05,0.0139796,0.0139221
2,49152,1,0.00125151,0.00596037,0.171043,0.014569,3.087e-05,0.0197424,0.0196659
2,49152,1,0.00161437,0.00346124,0.165134,0.00875504,1.2712e-05,0.0115456,0.0115092
2,50176,1,0.00110659,0.00638425,0.174256,0.0143452,3.4781e-05,0.0199698,0.0198948
2,50176,1,0.00114369,0.00268095,0.165737,0.00607947,1.4178e-05,0.00804661,0.00799626
2,50176,1,0.00123901,0.00584527,0.173879,0.0143949,4.0579e-05,0.0193916,0.0192966
2,51200,1,0.00130801,0.00639724,0.177348,0.0144032,3.6807e-05,0.0200219,0.0199506
2,51200,1,0.00145191,0.00287504,0.167994,0.00521383,1.3759e-05,0.00739623,0.00735363
2,51200,1,0.00180306,0.00641247,0.177329,0.014503,1.4806e-05,0.0200171,0.0199145
2,52224,1,0.00112623,0.00297576,0.172354,0.00608561,1.3689e-05,0.0083901,0.00835881
2,52224,1,0.00117936,0.00404759,0.178763,0.0125359,3.4363e-05,0.0158429,0.0157717
2,52224,1,0.00146413,0.0029701,0.171919,0.00570001,1.2292e-05,0.0080156,0.00798208
2,53248,1,0.001171,0.00352501,0.175743,0.00619422,1.3061e-05,0.0089828,0.00893572
2,53248,1,0.00122658,0.00646373,0.184014,0.0143962,3.3595e-05,0.0200374,0.0199576
2,53248,1,0.00131542,0.0055395,0.182841,0.0132689,2.7099e-05,0.017975,0.0179035
2,54272,1,0.00135466,0.00584826,0.187263,0.0144208,3.6737e-05,0.0194455,0.019364
2,54272,1,0.00186627,0.00639144,0.187032,0.014119,3.5899e-05,0.0195652,0.0194693
2,54272,1,0.0019026,0.00643712,0.187467,0.0145226,1.4876e-05,0.0200226,0.0199298
2,55296,1,0.00123763,0.00376736,0.184733,0.00866578,1.4108e-05,0.0116732,0.0116316
2,55296,1,0.0018634,0.00643153,0.190504,0.0142869,2.8007e-05,0.0198277,0.0197533
2,55296,1,0.00188673,0.00646701,0.191191,0.0151059,3.3176e-05,0.0207014,0.0206106
2,56320,1,0.00142472,0.00625902,0.193616,0.0142388,1.299e-05,0.0196899,0.0196085
