N,gpus,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
1024,14,0.00068136,0.00481579,16.3018,0.0491549,14.0747,0.0324498,0.0288819
1024,14,0.000654274,0.00492281,16.3012,0.0502221,14.065,0.0331659,0.0295295
1024,14,0.000676468,0.00479291,16.2481,0.0492792,14.017,0.0327032,0.0291735
1024,14,0.000686603,0.00530745,16.3055,0.0450172,14.07,0.0278261,0.0237686
1024,14,0.00065724,0.00486283,16.2482,0.0468556,14.0168,0.0304175,0.0268396
1024,15,0.00070152,0.00421181,18.6762,0.0449667,16.4334,0.0261985,0.0232912
1024,15,0.000702577,0.00442631,18.7147,0.056097,16.4662,0.0389067,0.0357844
1024,15,0.000738651,0.00500966,18.4218,0.0453065,16.1859,0.0286859,0.0250639
1024,15,0.000715002,0.00432021,18.613,0.0473118,16.3723,0.0300541,0.0270453
1024,15,0.000690512,0.00498703,18.4602,0.0474028,16.2222,0.0304669,0.0268548
1024,16,0.000820659,0.00512743,21.1982,0.0557481,18.9415,0.0388719,0.0352097
1024,16,0.000825482,0.00540723,21.165,0.0462906,18.9145,0.0293733,0.0254218
1024,16,0.00100451,0.00849401,21.1956,0.0608673,18.9289,0.0462746,0.039189
1024,16,0.00106619,0.00571516,21.2172,0.0571459,18.9563,0.0391071,0.0348292
1024,16,0.000808012,0.00608008,21.2039,0.0536455,18.9443,0.0361365,0.0314874
1024,1,7.2334e-05,7.7544e-05,1.45684,N/A,N/A,N/A,N/A
1024,1,7.0919e-05,7.8597e-05,1.30121,N/A,N/A,N/A,N/A
1024,1,6.7271e-05,7.7145e-05,1.30001,N/A,N/A,N/A,N/A
1024,1,6.5757e-05,8.3806e-05,1.30228,N/A,N/A,N/A,N/A
1024,1,6.4717e-05,7.9125e-05,1.3,N/A,N/A,N/A,N/A
1024,3,0.000139015,0.00238253,2.04127,0.0287906,0.539485,0.0167058,0.0146371
1024,3,0.000141431,0.00242116,1.89606,0.031253,0.534251,0.0189905,0.0168682
1024,3,0.00013223,0.00295745,1.88438,0.0320613,0.520838,0.0204473,0.0178335
1024,3,0.00012883,0.0024015,1.89863,0.0319465,0.5344,0.0196209,0.017508
1024,3,0.000133494,0.00424685,1.87119,0.029859,0.514255,0.0197186,0.015781
1024,4,0.000164374,0.00223137,2.42501,0.0326558,0.968188,0.0198342,0.0179132
1024,4,0.000172035,0.00338636,2.29554,0.0310275,0.923504,0.0180614,0.0149896
1024,4,0.000168697,0.00218531,2.25313,0.0296938,0.885747,0.0168306,0.0149932
1024,4,0.000173408,0.00219211,2.24305,0.0295445,0.879284,0.0167852,0.0149383
1024,4,0.000169123,0.00230432,2.30027,0.0301643,0.932609,0.0179542,0.0159577
1024,5,0.000216499,0.0034156,3.46186,0.0310729,1.48254,0.0181746,0.0152258
1024,5,0.000199817,0.00281691,3.60786,0.0354757,1.635,0.0228535,0.0204478
1024,5,0.000200956,0.00506902,3.51069,0.0319538,1.54198,0.0209692,0.0163653
1024,5,0.000212225,0.00278814,3.55141,0.031835,1.58202,0.0188542,0.0165107
1024,5,0.000215109,0.00504571,3.49419,0.0339715,1.52361,0.0232688,0.0187036
1024,6,0.000248889,0.00280362,4.54211,0.030557,2.44323,0.0172423,0.0149535
1024,6,0.000262712,0.00372821,4.54007,0.0351926,2.43214,0.0219827,0.0187942
1024,6,0.00026221,0.00300012,4.53739,0.0304439,2.43906,0.0170248,0.0145827
1024,6,0.000249389,0.00278562,4.57488,0.032868,2.47201,0.0191555,0.0168824
1024,6,0.000243312,0.0035965,4.4043,0.032656,2.29492,0.0194384,0.0163791
1024,7,0.000299956,0.00591077,5.266,0.037159,3.15097,0.0262454,0.0210046
1024,7,0.000314457,0.0033777,5.52468,0.0423499,3.40126,0.0289162,0.0261436
1024,7,0.000308006,0.00304347,5.55043,0.0335441,3.43785,0.019493,0.0170475
