gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time,node,blocksize
2,53248,50,0.00158592,0.000751307,4.24375,0.0150898,0.0140651,0.0143061,0.0141363,victoria,1024
2,53248,50,0.00159491,0.000783967,4.2553,0.0159762,0.0141581,0.0151407,0.014979,victoria,1024
2,65536,50,0.00191154,0.00124217,9.79674,0.0153792,0.0149722,0.0145737,0.014371,victoria,1024
2,65536,50,0.00192363,0.00139091,9.75211,0.0158552,0.0150113,0.015102,0.0148177,victoria,1024
2,65536,50,0.002151,0.00121653,9.80477,0.0154256,0.0162964,0.0146251,0.0144023,victoria,1024
2,77824,50,0.00176561,0.00114395,11.7516,0.0156904,0.0159177,0.0148157,0.0146108,victoria,1024
2,77824,50,0.0022557,0.00143585,11.7157,0.0149883,0.0162773,0.0137217,0.0134653,victoria,1024
2,77824,50,0.00235783,0.00146904,11.7435,0.0157305,0.0171591,0.0148522,0.0145792,victoria,1024
2,90112,50,0.00273817,0.00160775,13.6559,0.0157988,0.0177931,0.014989,0.0147092,victoria,1024
2,90112,50,0.00278235,0.0015715,13.6185,0.0159216,0.0176341,0.01503,0.0148163,victoria,1024
2,90112,50,0.00279748,0.00163431,13.6198,0.0164878,0.0175339,0.0157098,0.0154461,victoria,1024
2,102400,50,0.00312449,0.00164402,15.6814,0.0152746,0.0191957,0.0144271,0.0141921,victoria,1024
2,102400,50,0.00314977,0.00163288,15.654,0.0156974,0.0195179,0.0148133,0.0145863,victoria,1024
2,102400,50,0.00374548,0.00165859,15.6927,0.0183331,0.0193427,0.0175625,0.0172773,victoria,1024
2,114688,50,0.00180163,0.00117851,25.4034,0.0159933,0.0207694,0.0151343,0.014965,victoria,1024
2,114688,50,0.00347569,0.00184643,25.3837,0.0156367,0.0203588,0.0146696,0.0144576,victoria,1024
2,114688,50,0.00360871,0.00178613,25.4081,0.0154118,0.0204352,0.014557,0.0143018,victoria,1024
2,126976,50,0.00216738,0.0014195,28.3048,0.0164997,0.0217624,0.0155847,0.0153326,victoria,1024
2,126976,50,0.00354889,0.00221404,28.3249,0.0159437,0.0215555,0.0150363,0.0147772,victoria,1024
2,126976,50,0.00355303,0.00209133,28.3393,0.0170283,0.0217329,0.0160325,0.015769,victoria,1024
2,139264,50,0.00425156,0.00207784,31.2966,0.0170865,0.0227479,0.0161617,0.0159381,victoria,1024
2,139264,50,0.00493609,0.00198076,31.251,0.0154051,0.0233282,0.0144595,0.0142613,victoria,1024
2,139264,50,0.00497094,0.0020488,31.3617,0.0169898,0.0243302,0.0161516,0.0158905,victoria,1024
2,151552,50,0.00241051,0.00178291,34.5089,0.0164876,0.0256288,0.0154975,0.0152616,victoria,1024
2,151552,50,0.00427057,0.00239019,34.3617,0.016472,0.0243913,0.015503,0.015295,victoria,1024
2,151552,50,0.00458377,0.00226616,34.4358,0.0158771,0.0243063,0.0150087,0.0147657,victoria,1024
2,163840,50,0.00263263,0.00168336,48.3805,0.0162666,0.0275259,0.0153617,0.015178,victoria,1024
2,163840,50,0.00281535,0.00179805,48.4932,0.0164991,0.025287,0.0154316,0.0152342,victoria,1024
2,163840,50,0.00489439,0.00201987,48.3511,0.0162548,0.0254301,0.0153559,0.0151319,victoria,1024
2,176128,50,0.00294388,0.00197842,52.4066,0.0158577,0.0283122,0.0149923,0.0147608,victoria,1024
2,176128,50,0.0048718,0.00278688,52.3837,0.0184375,0.0267572,0.017275,0.0170809,victoria,1024
2,176128,50,0.00620631,0.0019973,52.558,0.016189,0.0291544,0.0150961,0.0148867,victoria,1024
2,188416,50,0.00521733,0.00285013,56.5494,0.0156488,0.0279504,0.0146524,0.0144214,victoria,1024
2,188416,50,0.00655782,0.0020815,56.7329,0.0167292,0.0296688,0.0154886,0.0152987,victoria,1024
2,188416,50,0.00670401,0.00269661,56.5537,0.0169314,0.0283528,0.0159113,0.0157034,victoria,1024
2,200704,50,0.00551522,0.00298773,60.6713,0.0163812,0.0288093,0.0154396,0.0152402,victoria,1024
2,200704,50,0.00553561,0.00278455,60.8937,0.0164593,0.0291426,0.0153068,0.0150901,victoria,1024
2,200704,50,0.00557138,0.00299675,60.9672,0.0163971,0.0290112,0.0153925,0.0151846,victoria,1024
2,212992,50,0.00629698,0.00260636,65.6583,0.0152689,0.0311514,0.0142606,0.014062,victoria,1024
2,212992,50,0.0063115,0.00273452,65.5684,0.0168516,0.0313481,0.0155943,0.0153764,victoria,1024
2,212992,50,0.00681262,0.00315215,65.4674,0.0160516,0.0317391,0.0149969,0.0147529,victoria,1024
