O3,gpus,N,iter,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
true,5,12288,1,0.983579,3.49003,0.268387,0.131955,0.278533,0.125091
true,5,12288,2,1.52744,3.48446,0.224932,0.132576,0.26898,0.126124
true,5,12288,3,1.03121,3.62995,0.265347,0.128544,0.275623,0.122387
true,5,16384,1,1.49712,5.95013,0.413462,0.167574,0.306745,0.161183
true,5,16384,2,1.70183,5.85587,0.408428,0.169538,0.304053,0.163122
true,5,16384,3,1.68222,5.86973,0.400935,0.179842,0.306796,0.173627
true,5,20480,1,2.65316,9.167,0.60588,0.207356,0.330132,0.200872
true,5,20480,2,2.86488,9.24459,0.59035,0.208336,0.337276,0.200728
true,5,20480,3,2.61501,9.19093,0.605641,0.225466,0.332826,0.218826
true,5,24576,1,3.80724,12.8476,0.805407,0.253796,0.358786,0.247122
true,5,24576,2,6.33052,13.022,0.625749,0.254888,0.351648,0.24664
true,5,24576,3,5.11516,12.8458,0.65719,0.250414,0.359833,0.243969
true,5,28672,1,6.10629,17.1972,1.04123,0.294819,0.380013,0.287828
true,5,28672,2,5.12086,17.1647,1.06498,0.291989,0.38169,0.285369
true,5,28672,3,5.4185,17.217,0.996162,0.286658,0.383987,0.279748
true,5,32768,1,7.07878,22.2537,1.30881,0.350907,0.397401,0.344127
true,5,32768,2,7.04412,22.2475,1.3032,0.327169,0.397642,0.320287
true,5,32768,3,6.92085,22.3829,1.3088,0.343,0.400443,0.335867
true,5,36864,1,8.41881,28.2032,1.5966,0.377842,0.421367,0.370714
true,5,36864,2,6.25155,28.1802,1.36521,0.394685,0.392805,0.387725
true,5,36864,3,6.85375,28.1681,1.52578,0.372943,0.400875,0.365126
true,6,1024,1,0.00965741,0.371855,0.0133143,0.0250746,0.285436,0.0193484
true,6,1024,2,0.00865152,0.380541,0.014389,0.0246919,0.292579,0.019376
true,6,1024,3,0.00964891,0.383209,0.0137045,0.0254426,0.291478,0.019673
true,6,2048,1,0.0307079,0.480409,0.0281776,0.0325522,0.303092,0.0269423
true,6,2048,2,0.05669,0.478763,0.0349607,0.0322571,0.298965,0.0269929
true,6,2048,3,0.0338801,0.488333,0.0284723,0.034644,0.305926,0.0291405
true,6,4096,1,0.138108,0.834981,0.068463,0.0521251,0.323262,0.045768
true,6,4096,2,0.127589,0.816337,0.0641566,0.049669,0.311846,0.0442286
