gpus,N,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
6,8192,0.698901,5.11598,0.185413,0.363361,0.631514,0.221271
6,8192,0.737066,5.10632,0.193873,0.354094,0.635655,0.212442
6,8192,0.824445,5.11057,0.190348,0.356272,0.632775,0.213997
7,1024,0.0104122,1.07212,0.0127877,0.231242,0.711263,0.169743
7,1024,0.0125498,1.08334,0.0143976,0.233709,0.717371,0.168985
7,1024,0.0146376,1.07102,0.0141421,0.23127,0.707199,0.169142
7,12288,1.75569,9.38488,0.266602,0.457061,0.895704,0.240374
7,12288,1.78626,9.35723,0.267236,0.459109,0.8821,0.240503
7,12288,2.04959,9.32787,0.337356,0.456368,0.846504,0.23999
7,16384,3.14784,15.2567,0.537624,0.53789,0.89432,0.264727
7,16384,3.16746,15.3314,0.416469,0.53721,0.946204,0.265173
7,16384,4.18045,15.344,0.416267,0.541987,0.942243,0.269636
7,2048,0.046756,1.36493,0.0316326,0.251605,0.717698,0.173898
7,2048,0.0486098,1.38928,0.0320186,0.253614,0.738594,0.176537
7,2048,0.055809,1.37122,0.0318918,0.253623,0.731709,0.176353
7,20480,3.483,23.9593,0.599521,0.621577,1.01454,0.294543
7,20480,3.71984,23.9513,0.585235,0.619746,1.0162,0.291789
7,20480,3.73387,23.9806,0.595277,0.629049,1.01574,0.295261
7,24576,5.20963,32.9462,0.802936,0.700227,1.12411,0.317937
7,24576,5.4434,32.9957,0.800132,0.703136,1.11354,0.320716
7,24576,5.45368,32.99,0.796469,0.714015,1.1106,0.327047
7,28672,7.38243,44.0038,1.03182,0.797647,1.1881,0.343136
7,28672,7.41403,43.9785,1.03854,0.78345,1.19121,0.345573
7,28672,7.53472,44.2961,1.03054,0.79112,1.1843,0.346576
7,32768,9.20776,56.7764,1.30264,0.869116,1.24519,0.373191
7,32768,9.38475,56.7471,1.30173,0.866305,1.22908,0.372354
7,32768,9.82184,57.1627,1.29903,0.87119,1.23067,0.372775
7,36864,11.4727,72.2644,1.58504,0.957296,1.33633,0.403574
7,36864,11.8302,72.2792,1.58834,0.983182,1.33464,0.407831
7,36864,12.1266,72.2418,1.58461,0.960262,1.30429,0.406909
7,4096,0.153147,2.43977,0.077388,0.295106,0.797127,0.188235
7,4096,0.186758,2.48142,0.0624142,0.290991,0.816853,0.186738
7,4096,0.194532,2.45177,0.0770827,0.291465,0.808661,0.186483
7,8192,0.675008,4.72581,0.147352,0.375071,0.767225,0.211361
7,8192,0.778272,4.71377,0.198327,0.37247,0.757067,0.211584
7,8192,0.81364,4.71344,0.18327,0.377343,0.759765,0.215025
8,1024,0.0124092,1.17731,0.0144153,0.246446,0.814333,0.180804
8,1024,0.0136574,1.17956,0.01284,0.247314,0.816515,0.180475
8,1024,0.014847,1.18477,0.0141676,0.243092,0.825806,0.175999
8,12288,1.69253,8.50769,0.355753,0.480393,0.986526,0.234786
8,12288,1.74631,8.52168,0.335232,0.488603,0.998765,0.238818
8,12288,1.94895,8.50908,0.346787,0.487708,0.988781,0.239058
